Hidden Layers,Learning Rate,Final Loss,Final Accuracy,Test Accuracy,Execution Time
"(160, 100)",0.1,2.3244474,0.10131667,0.10279952,1019.4137537479401
"(100, 160)",0.1,2.3253877,0.10041667,0.09739954,1359.078777551651
"(100, 100)",0.1,2.324632,0.10075001,0.09799953,1117.0074152946472
"(100, 60)",0.1,2.3242283,0.10041667,0.09739954,1050.0094079971313
"(60, 60)",0.1,2.3245666,0.1035,0.100999504,1271.1226246356964
"(160, 100)",0.01,1.115283,0.6894333,0.7075003,1019.7993042469025
"(100, 160)",0.01,0.54308766,0.85566664,0.8853017,1355.3897078037262
"(100, 100)",0.01,0.85928416,0.78885,0.7887005,1146.085301399231
"(100, 60)",0.01,0.8944917,0.7879001,0.7417,1020.1102068424225
"(60, 60)",0.01,0.38169116,0.91595006,0.9121018,1322.093934059143
"(160, 100)",0.001,0.07038808,0.99646664,0.9689019,1041.141901731491
"(100, 160)",0.001,0.09735789,0.9962666,0.9635019,1356.717942237854
"(100, 100)",0.001,0.061007254,0.99548334,0.965202,1146.6160809993744
"(100, 60)",0.001,0.020379169,0.9948666,0.96330214,1028.7735147476196
"(60, 60)",0.001,0.02425824,0.99366665,0.956802,1326.1779799461365
"(160, 100)",1,2.5155206,0.09968334,0.113799475,1089.1433374881744
"(100, 160)",1,2.5160165,0.10073334,0.089199565,1415.4073264598846
"(100, 100)",1,2.5104346,0.10038334,0.10319947,1196.1941125392914
"(100, 60)",1,2.5099719,0.10191666,0.09739954,1210.1165745258331
"(60, 60)",1,2.5186155,0.09993334,0.089199565,1180.057456254959
